Point,raw,averaged
1957,368,366
1958,361,362
1959,368,366
1960,360,359
1961,361,361
1962,359,358
1963,359,359
1964,358,357
1965,355,356
1966,356,355
1967,353,354
1968,353,352
1969,349,348
1970,349,348
1971,344,344
1972,348,346
1973,342,343
1974,344,345
1975,340,340
1976,345,344
1977,343,342
1978,344,343
1979,340,340
1980,343,343
1981,344,343
1982,346,346
1983,350,349
1984,348,349
1985,353,351
1986,348,348
1987,333,330
1988,314,312
1989,311,309
1990,297,296
1991,292,292
1992,282,281
1993,279,278
1994,273,271
1995,269,268
1996,264,262
1997,259,259
1998,259,257
1999,252,253
2000,256,254
2001,249,250
2002,253,251
2003,248,248
2004,249,250
2005,245,245
2006,249,248
2007,245,243
2008,245,247
2009,246,244
2010,248,248
2011,249,250
2012,252,252
2013,255,256
2014,258,258
2015,262,261
2016,263,263
2017,269,269
2018,267,268
2019,278,276
2020,274,275
2021,286,285
2022,287,287
2023,295,295
2024,298,298
2025,305,305
2026,309,307
2027,314,313
